doc_ID,date,sentence_id,context,detect_evidence_response,type_of_evidence_response,source_of_evidence_response,evidence_frame_response,associated_emotion_response,detect_source_response,journalist_question_response,country_source_response
202004211q,2020-04-21,0,"Titre et participants : Conférence de presse de M. François Legault, premier ministre et Mme Danielle McCann, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date :",non,,,,,non,non,
202004211q,2020-04-21,1,"Titre et participants : Conférence de presse de M. François Legault, premier ministre et Mme Danielle McCann, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 21 avril 2020, 13 h. 30), édifice Pamphile",non,,,,,non,non,
202004211q,2020-04-21,2,"Titre et participants : Conférence de presse de M. François Legault, premier ministre et Mme Danielle McCann, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 21 avril 2020, 13 h. 30), édifice Pamphile -",non,,,,,non,non,
202004211q,2020-04-21,3,"Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 21 avril 2020, 13 h. 30), édifice Pamphile - Le May.",non,,,,,non,non,
202004211q,2020-04-21,4,"Date : Le mardi 21 avril 2020, 13 h. 30), édifice Pamphile - Le May. Début de la transcription :",non,,,,,non,non,
202004211q,2020-04-21,5,"Le mardi 21 avril 2020, 13 h. 30), édifice Pamphile - Le May. Début de la transcription : (Treize heures quatre minutes)",non,,,,,non,non,
202004211q,2020-04-21,6,"- Le May. Début de la transcription : (Treize heures quatre minutes) Le Modérateur : Alors, bonjour à tous.",non,,,,,non,non,
202004211q,2020-04-21,7,"Le May. Début de la transcription : (Treize heures quatre minutes) Le Modérateur : Alors, bonjour à tous. Bienvenue à cette conférence de presse pour faire le point sur la situation au Québec quant à la COVID-19.",non,,,,,non,non,
202004211q,2020-04-21,8,"Début de la transcription : (Treize heures quatre minutes) Le Modérateur : Alors, bonjour à tous. Bienvenue à cette conférence de presse pour faire le point sur la situation au Québec quant à la COVID-19. Le premier ministre du Québec, M. François Legault, est accompagné, comme toujours, de la ministre de la Santé et des Services sociaux, Mme Danielle McCann, et du directeur national de santé publique, Dr Horacio Arruda.",non,,,,,non,non,
202004211q,2020-04-21,9,"(Treize heures quatre minutes) Le Modérateur : Alors, bonjour à tous. Bienvenue à cette conférence de presse pour faire le point sur la situation au Québec quant à la COVID-19. Le premier ministre du Québec, M. François Legault, est accompagné, comme toujours, de la ministre de la Santé et des Services sociaux, Mme Danielle McCann, et du directeur national de santé publique, Dr Horacio Arruda. le premier ministre, à vous la parole.",non,,,,,non,non,
