date,vax,SPHM,TH,CC,CD,VAX100,TH100,CC100,CD100,evidence_rate,country_source_rate,neutral_frame_rate,moderate_frame_rate,dangerous_frame_rate,neutral_measure_rate,mitigation_measure_rate,suppression_measure_rate,source_rate,neutral_emotion_rate,negative_emotion_rate,positive_emotion_rate,evidence_full
2021-01-03,NA,61.79,2651,2754,83,NA,95.4971181556196,5.1112637107700305,68.59504132231406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-04,9317,61.79,2771,6982,86,8.239618985530866,99.81988472622479,12.958185631298601,71.07438016528926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-05,9317,61.79,2776,7546,93,8.239618985530866,100,14.004936805181789,76.85950413223141,31.68316831683168,0,30.693069306930692,14.85148514851485,54.45544554455446,71.28712871287128,14.85148514851485,13.861386138613863,15.841584158415834,56.43564356435643,42.57425742574257,0.9900990099009901,31.683168316831683
2021-01-06,9317,61.79,2774,5028,82,8.239618985530866,99.92795389048992,9.331675358660753,67.76859504132231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-07,9317,63.57,2700,7148,103,8.239618985530866,97.26224783861672,13.26627196971103,85.12396694214877,71.19565217391303,6.106870229007625,60.86956521739131,8.152173913043478,30.978260869565215,54.347826086956516,29.347826086956523,16.304347826086957,17.391304347826093,77.71739130434783,20.108695652173914,2.1739130434782608,71.19565217391305
2021-01-08,9317,63.57,2629,5690,99,8.239618985530866,94.70461095100865,10.560308828715131,81.81818181818183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-09,9317,63.57,2607,4735,89,8.239618985530866,93.91210374639769,8.787884411944843,73.55371900826447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-10,9317,63.57,2593,2317,92,8.239618985530866,93.4077809798271,4.300217145190327,76.03305785123968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-11,9317,63.57,2601,4648,89,8.239618985530866,93.69596541786743,8.626417475547967,73.55371900826447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-12,9317,63.57,2613,5334,89,8.239618985530866,94.12824207492795,9.899593548746312,73.55371900826447,28.21782178217822,14.035087719298245,66.33663366336634,1.4851485148514851,32.17821782178218,65.34653465346535,31.683168316831683,2.9702970297029703,7.920792079207918,67.82178217821783,25.742574257425744,6.435643564356436,28.217821782178216
