doc_ID,date,sentence_id,context,detect_evidence_response,type_of_evidence_response,source_of_evidence_response,evidence_frame_response,associated_emotion_response,detect_source_response,journalist_question_response,country_source_response
202006231,2020-06-23,0,se Subject : Texting press meeting 23 June Categories : KE,non,,,,,non,non,
202006231,2020-06-23,1,se Subject : Texting press meeting 23 June Categories : KE Il est deux heures.,non,,,,,non,non,
202006231,2020-06-23,2,se Subject : Texting press meeting 23 June Categories : KE Il est deux heures. Je vous souhaite la bienvenue à la conférence de presse conjointe d'aujourd'hui sur les derniers développements concernant Covid-19.,non,,,,,non,non,
202006231,2020-06-23,3,"Texting press meeting 23 June Categories : KE Il est deux heures. Je vous souhaite la bienvenue à la conférence de presse conjointe d'aujourd'hui sur les derniers développements concernant Covid-19. Participants : Lena Ag, directrice générale de l'Agence suédoise pour l'égalité des sexes.",non,,,,,non,non,
202006231,2020-06-23,4,"June Categories : KE Il est deux heures. Je vous souhaite la bienvenue à la conférence de presse conjointe d'aujourd'hui sur les derniers développements concernant Covid-19. Participants : Lena Ag, directrice générale de l'Agence suédoise pour l'égalité des sexes. Iréne",non,,,,,non,non,
202006231,2020-06-23,5,"Il est deux heures. Je vous souhaite la bienvenue à la conférence de presse conjointe d'aujourd'hui sur les derniers développements concernant Covid-19. Participants : Lena Ag, directrice générale de l'Agence suédoise pour l'égalité des sexes. Iréne Nilsson Carlsson, Conseil de la santé publique, et Taha Alexandersson, responsable de la préparation aux crises au Conseil national de la santé et du bien-être, Anders Tegnell, épidémiologiste d'État à l'Agence suédoise de la santé publique et Svante Werger de la MSB.",non,,"la source scientifique mentionnee dans cet extrait de conference de presse est l'agence suedoise pour l'egalite des sexes, le conseil de la sante publique, le conseil national de la sante et du bien-etre, l'agence suedoise de la sante publique, et la msb ( agence suedoise de gestion des crises ). il y a egalement mention d'experts tels que lena ag, irene nilsson carlsson, taha alexandersson, anders tegnell qui sont des professionnels dans le domaine de la sante publique et de la gestion des crises.",mitigation,négatif,oui,non,NA
202006231,2020-06-23,6,"Je vous souhaite la bienvenue à la conférence de presse conjointe d'aujourd'hui sur les derniers développements concernant Covid-19. Participants : Lena Ag, directrice générale de l'Agence suédoise pour l'égalité des sexes. Iréne Nilsson Carlsson, Conseil de la santé publique, et Taha Alexandersson, responsable de la préparation aux crises au Conseil national de la santé et du bien-être, Anders Tegnell, épidémiologiste d'État à l'Agence suédoise de la santé publique et Svante Werger de la MSB. Vous pourrez poser des questions par la suite.",non,,"dans l'extrait de conference de presse que vous avez fourni, aucune source specifique n'a ete citee ou mentionnee dans le contexte de covid-19. les participants a la conference sont des representants d'organisations et d'institutions telles que l'agence suedoise pour l'egalite des sexes, le conseil de la sante publique, le conseil national de la sante et du bien-etre, l'agence suedoise de la sante publique, et la msb (agences suedoises de gestion des situations d'urgence), mais aucune preuve ou source scientifique n'est clairement indiquee. par consequent, la source specifique est 'na'.",suppression,négatif,oui,non,NA
202006231,2020-06-23,7,"Participants : Lena Ag, directrice générale de l'Agence suédoise pour l'égalité des sexes. Iréne Nilsson Carlsson, Conseil de la santé publique, et Taha Alexandersson, responsable de la préparation aux crises au Conseil national de la santé et du bien-être, Anders Tegnell, épidémiologiste d'État à l'Agence suédoise de la santé publique et Svante Werger de la MSB. Vous pourrez poser des questions par la suite. Nous répondons également aux questions des journalistes par voie numérique.",non,,"dans cet extrait de conference de presse, plusieurs sources expertes dans le domaine de la sante publique et de la gestion des crises sont mentionnees. cependant, aucune preuve ou source specifique n'est directement citee dans l'extrait fourni.

les participants suivants a la conference de presse representent diverses organisations et institutions :

* lena ag, directrice generale de l'agence suedoise pour l'egalite des sexes
* irene nilsson carlsson, du conseil de la sante publique
* taha alexandersson, responsable de la preparation aux crises au conseil national de la sante et du bien-etre
* anders tegnell, epidemiologiste d'etat a l'agence suedoise de la sante publique
* svante werger de la msb (l'agence suedoise de gestion des crises)

comme aucune source specifique n'est mentionnee dans l'extrait, je renseigne 'na'.",suppression,négatif,oui,non,NA
202006231,2020-06-23,8,"Iréne Nilsson Carlsson, Conseil de la santé publique, et Taha Alexandersson, responsable de la préparation aux crises au Conseil national de la santé et du bien-être, Anders Tegnell, épidémiologiste d'État à l'Agence suédoise de la santé publique et Svante Werger de la MSB. Vous pourrez poser des questions par la suite. Nous répondons également aux questions des journalistes par voie numérique. Il y a une possibilité de poser des questions à l'extérieur aujourd'hui.",non,,,,,non,non,
202006231,2020-06-23,9,"Nilsson Carlsson, Conseil de la santé publique, et Taha Alexandersson, responsable de la préparation aux crises au Conseil national de la santé et du bien-être, Anders Tegnell, épidémiologiste d'État à l'Agence suédoise de la santé publique et Svante Werger de la MSB. Vous pourrez poser des questions par la suite. Nous répondons également aux questions des journalistes par voie numérique. Il y a une possibilité de poser des questions à l'extérieur aujourd'hui. Anders Tegnell",non,,,,,non,non,
