date;VAX
2020-12-14 00:00:00;311
2020-12-15 00:00:00;1189
2020-12-16 00:00:00;971
2020-12-17 00:00:00;914
2020-12-18 00:00:00;742
2020-12-19 00:00:00;718
2020-12-20 00:00:00;114
2020-12-21 00:00:00;522
2020-12-22 00:00:00;2030
2020-12-23 00:00:00;3766
2020-12-24 00:00:00;3024
2020-12-25 00:00:00;0
2020-12-26 00:00:00;3127
2020-12-27 00:00:00;2283
2020-12-28 00:00:00;2533
2020-12-29 00:00:00;2362
2020-12-30 00:00:00;3065
2020-12-31 00:00:00;343
2021-01-01 00:00:00;9
2021-01-02 00:00:00;635
2021-01-03 00:00:00;1540
2021-01-04 00:00:00;2797
2021-01-05 00:00:00;5990
2021-01-06 00:00:00;10782
2021-01-07 00:00:00;13771
2021-01-08 00:00:00;13421
2021-01-09 00:00:00;8780
2021-01-10 00:00:00;7084
2021-01-11 00:00:00;7376
2021-01-12 00:00:00;7977
2021-01-13 00:00:00;9171
2021-01-14 00:00:00;11853
2021-01-15 00:00:00;11199
2021-01-16 00:00:00;8450
2021-01-17 00:00:00;7136
2021-01-18 00:00:00;10650
2021-01-19 00:00:00;10360
2021-01-20 00:00:00;11478
2021-01-21 00:00:00;13787
2021-01-22 00:00:00;11923
2021-01-23 00:00:00;8502
2021-01-24 00:00:00;2084
2021-01-25 00:00:00;4493
2021-01-26 00:00:00;4125
2021-01-27 00:00:00;3792
2021-01-28 00:00:00;3384
2021-01-29 00:00:00;2286
2021-01-30 00:00:00;600
2021-01-31 00:00:00;793
2021-02-01 00:00:00;428
2021-02-02 00:00:00;725
2021-02-03 00:00:00;2997
2021-02-04 00:00:00;5146
2021-02-05 00:00:00;5080
2021-02-06 00:00:00;3260
2021-02-07 00:00:00;2324
2021-02-08 00:00:00;3506
2021-02-09 00:00:00;3657
2021-02-10 00:00:00;5904
2021-02-11 00:00:00;9897
2021-02-12 00:00:00;10286
2021-02-13 00:00:00;1661
2021-02-14 00:00:00;942
2021-02-15 00:00:00;3049
2021-02-16 00:00:00;2012
2021-02-17 00:00:00;2666
2021-02-18 00:00:00;11949
2021-02-19 00:00:00;18426
2021-02-20 00:00:00;14899
2021-02-21 00:00:00;9225
2021-02-22 00:00:00;12044
2021-02-23 00:00:00;10817
2021-02-24 00:00:00;9954
2021-02-25 00:00:00;14284
2021-02-26 00:00:00;17436
2021-02-27 00:00:00;13075
2021-02-28 00:00:00;6742
2021-03-01 00:00:00;18609
2021-03-02 00:00:00;17885
2021-03-03 00:00:00;18532
2021-03-04 00:00:00;19503
2021-03-05 00:00:00;20388
2021-03-06 00:00:00;15785
2021-03-07 00:00:00;15619
2021-03-08 00:00:00;17003
2021-03-09 00:00:00;18889
2021-03-10 00:00:00;19837
2021-03-11 00:00:00;30320
2021-03-12 00:00:00;34584
2021-03-13 00:00:00;34300
2021-03-14 00:00:00;28615
2021-03-15 00:00:00;30684
2021-03-16 00:00:00;30412
2021-03-17 00:00:00;27953
2021-03-18 00:00:00;40709
2021-03-19 00:00:00;42609
2021-03-20 00:00:00;29017
2021-03-21 00:00:00;21473
2021-03-22 00:00:00;27003
2021-03-23 00:00:00;33440
2021-03-24 00:00:00;41428
2021-03-25 00:00:00;56100
2021-03-26 00:00:00;54886
2021-03-27 00:00:00;46346
2021-03-28 00:00:00;39238
2021-03-29 00:00:00;44139
2021-03-30 00:00:00;43390
2021-03-31 00:00:00;42191
2021-04-01 00:00:00;49555
2021-04-02 00:00:00;47617
2021-04-03 00:00:00;41503
2021-04-04 00:00:00;22728
2021-04-05 00:00:00;40372
2021-04-06 00:00:00;44262
2021-04-07 00:00:00;48449
2021-04-08 00:00:00;71213
2021-04-09 00:00:00;75778
2021-04-10 00:00:00;61962
2021-04-11 00:00:00;56029
2021-04-12 00:00:00;60040
2021-04-13 00:00:00;70697
2021-04-14 00:00:00;71119
2021-04-15 00:00:00;77941
2021-04-16 00:00:00;74007
2021-04-17 00:00:00;60762
2021-04-18 00:00:00;41190
2021-04-19 00:00:00;49040
2021-04-20 00:00:00;56347
2021-04-21 00:00:00;88348
2021-04-22 00:00:00;90155
2021-04-23 00:00:00;85418
2021-04-24 00:00:00;64838
2021-04-25 00:00:00;42324
2021-04-26 00:00:00;46912
2021-04-27 00:00:00;51977
2021-04-28 00:00:00;71225
2021-04-29 00:00:00;64793
2021-04-30 00:00:00;64628
2021-05-01 00:00:00;50683
2021-05-02 00:00:00;38711
2021-05-03 00:00:00;52483
2021-05-04 00:00:00;57650
2021-05-05 00:00:00;81174
2021-05-06 00:00:00;105637
2021-05-07 00:00:00;91360
2021-05-08 00:00:00;76658
2021-05-09 00:00:00;63215
2021-05-10 00:00:00;62852
2021-05-11 00:00:00;75969
2021-05-12 00:00:00;97000
2021-05-13 00:00:00;114666
2021-05-14 00:00:00;102700
2021-05-15 00:00:00;92392
2021-05-16 00:00:00;74216
2021-05-17 00:00:00;72909
2021-05-18 00:00:00;73907
2021-05-19 00:00:00;92737
2021-05-20 00:00:00;110537
2021-05-21 00:00:00;97378
2021-05-22 00:00:00;85797
2021-05-23 00:00:00;69045
2021-05-24 00:00:00;52897
2021-05-25 00:00:00;61005
2021-05-26 00:00:00;89443
2021-05-27 00:00:00;104503
2021-05-28 00:00:00;98749
2021-05-29 00:00:00;98989
2021-05-30 00:00:00;79533
2021-05-31 00:00:00;73652
2021-06-01 00:00:00;70114
2021-06-02 00:00:00;88973
2021-06-03 00:00:00;98306
2021-06-04 00:00:00;96281
2021-06-05 00:00:00;85268
2021-06-06 00:00:00;67993
2021-06-07 00:00:00;68198
2021-06-08 00:00:00;77661
2021-06-09 00:00:00;90760
2021-06-10 00:00:00;104463
2021-06-11 00:00:00;110890
2021-06-12 00:00:00;99964
2021-06-13 00:00:00;78834
2021-06-14 00:00:00;92745
2021-06-15 00:00:00;88752
2021-06-16 00:00:00;99354
2021-06-17 00:00:00;104026
2021-06-18 00:00:00;92860
2021-06-19 00:00:00;72583
2021-06-20 00:00:00;57797
2021-06-21 00:00:00;85952
2021-06-22 00:00:00;99677
2021-06-23 00:00:00;121023
2021-06-24 00:00:00;68804
2021-06-25 00:00:00;118181
2021-06-26 00:00:00;98226
2021-06-27 00:00:00;77772
2021-06-28 00:00:00;107698
2021-06-29 00:00:00;107258
2021-06-30 00:00:00;126434
2021-07-01 00:00:00;92592
2021-07-02 00:00:00;107333
2021-07-03 00:00:00;83430
2021-07-04 00:00:00;72592
2021-07-05 00:00:00;97990
2021-07-06 00:00:00;106635
2021-07-07 00:00:00;114798
2021-07-08 00:00:00;121525
2021-07-09 00:00:00;114473
2021-07-10 00:00:00;84477
2021-07-11 00:00:00;66609
2021-07-12 00:00:00;87427
2021-07-13 00:00:00;92252
2021-07-14 00:00:00;102661
2021-07-15 00:00:00;100949
2021-07-16 00:00:00;102721
2021-07-17 00:00:00;73638
2021-07-18 00:00:00;53872
2021-07-19 00:00:00;82701
2021-07-20 00:00:00;100370
2021-07-21 00:00:00;104080
2021-07-22 00:00:00;95585
2021-07-23 00:00:00;96075
2021-07-24 00:00:00;71600
2021-07-25 00:00:00;54516
2021-07-26 00:00:00;74769
2021-07-27 00:00:00;72134
2021-07-28 00:00:00;70622
2021-07-29 00:00:00;67601
2021-07-30 00:00:00;78011
2021-07-31 00:00:00;58511
2021-08-01 00:00:00;38660
2021-08-02 00:00:00;49823
2021-08-03 00:00:00;47884
2021-08-04 00:00:00;46417
2021-08-05 00:00:00;52436
2021-08-06 00:00:00;59253
2021-08-07 00:00:00;47265
2021-08-08 00:00:00;29185
2021-08-09 00:00:00;41215
