doc_ID,date,sentence_id,context
202202081q,2022-02-08,0,"Titre et participants : Conférence de presse de M. François Legault, premier ministre, et M. Christian Dubé, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date :"
202202081q,2022-02-08,1,"Titre et participants : Conférence de presse de M. François Legault, premier ministre, et M. Christian Dubé, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 8 février 2022, 13 h. 30), édifice Pamphile-Le May."
202202081q,2022-02-08,2,"Titre et participants : Conférence de presse de M. François Legault, premier ministre, et M. Christian Dubé, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 8 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures une minute)"
202202081q,2022-02-08,3,"Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 8 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures une minute) Le Modérateur : Bonjour et bienvenue à cette conférence de presse du premier ministre du Québec, M. François Legault, accompagné du ministre de la Santé et des Services sociaux, M. Christian Dubé, et du directeur national de la santé publique par intérim, M. le premier ministre, je vais vous céder la parole."
202202081q,2022-02-08,4,"Date : Le mardi 8 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures une minute) Le Modérateur : Bonjour et bienvenue à cette conférence de presse du premier ministre du Québec, M. François Legault, accompagné du ministre de la Santé et des Services sociaux, M. Christian Dubé, et du directeur national de la santé publique par intérim, M. le premier ministre, je vais vous céder la parole. Juste vous rappeler qu'on a un enjeu de temps, comme tous les mardis, donc il y a la période de questions à 14 heures."
202202081q,2022-02-08,5,"Le mardi 8 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures une minute) Le Modérateur : Bonjour et bienvenue à cette conférence de presse du premier ministre du Québec, M. François Legault, accompagné du ministre de la Santé et des Services sociaux, M. Christian Dubé, et du directeur national de la santé publique par intérim, M. le premier ministre, je vais vous céder la parole. Juste vous rappeler qu'on a un enjeu de temps, comme tous les mardis, donc il y a la période de questions à 14 heures. Je vous demanderais de respecter la consigne d'une question, une sous-question, s'il vous plaît."
202202081q,2022-02-08,6,"Début de la transcription : (Treize heures une minute) Le Modérateur : Bonjour et bienvenue à cette conférence de presse du premier ministre du Québec, M. François Legault, accompagné du ministre de la Santé et des Services sociaux, M. Christian Dubé, et du directeur national de la santé publique par intérim, M. le premier ministre, je vais vous céder la parole. Juste vous rappeler qu'on a un enjeu de temps, comme tous les mardis, donc il y a la période de questions à 14 heures. Je vous demanderais de respecter la consigne d'une question, une sous-question, s'il vous plaît. À vous la parole, M. le premier ministre."
202202081q,2022-02-08,7,"Le Modérateur : Bonjour et bienvenue à cette conférence de presse du premier ministre du Québec, M. François Legault, accompagné du ministre de la Santé et des Services sociaux, M. Christian Dubé, et du directeur national de la santé publique par intérim, M. le premier ministre, je vais vous céder la parole. Juste vous rappeler qu'on a un enjeu de temps, comme tous les mardis, donc il y a la période de questions à 14 heures. Je vous demanderais de respecter la consigne d'une question, une sous-question, s'il vous plaît. À vous la parole, M. le premier ministre. Bonjour, tout le monde."
202202081q,2022-02-08,8,"Juste vous rappeler qu'on a un enjeu de temps, comme tous les mardis, donc il y a la période de questions à 14 heures. Je vous demanderais de respecter la consigne d'une question, une sous-question, s'il vous plaît. À vous la parole, M. le premier ministre. Bonjour, tout le monde. Bien, d'abord, je veux revenir sur les manifestations de la fin de semaine à Québec."
202202081q,2022-02-08,9,"Je vous demanderais de respecter la consigne d'une question, une sous-question, s'il vous plaît. À vous la parole, M. le premier ministre. Bonjour, tout le monde. Bien, d'abord, je veux revenir sur les manifestations de la fin de semaine à Québec. Je veux en profiter pour féliciter le maire de Québec, Bruno Marchand, la vice-première ministre, Geneviève Guilbault, la police de Québec puis la Sûreté du Québec."
202202081q,2022-02-08,10,"À vous la parole, M. le premier ministre. Bonjour, tout le monde. Bien, d'abord, je veux revenir sur les manifestations de la fin de semaine à Québec. Je veux en profiter pour féliciter le maire de Québec, Bruno Marchand, la vice-première ministre, Geneviève Guilbault, la police de Québec puis la Sûreté du Québec. Je pense qu'ils ont fait un excellent travail pour que tout se passe bien."
202202081q,2022-02-08,11,"Bonjour, tout le monde. Bien, d'abord, je veux revenir sur les manifestations de la fin de semaine à Québec. Je veux en profiter pour féliciter le maire de Québec, Bruno Marchand, la vice-première ministre, Geneviève Guilbault, la police de Québec puis la Sûreté du Québec. Je pense qu'ils ont fait un excellent travail pour que tout se passe bien. Mais, au-delà de la manifestation, je pense qu'il faut quand même constater, là, qu'il y a de plus en plus de Québécois qui trouvent qu'il y a trop de contraintes suite à la COVID."
202202081q,2022-02-08,12,"Bien, d'abord, je veux revenir sur les manifestations de la fin de semaine à Québec. Je veux en profiter pour féliciter le maire de Québec, Bruno Marchand, la vice-première ministre, Geneviève Guilbault, la police de Québec puis la Sûreté du Québec. Je pense qu'ils ont fait un excellent travail pour que tout se passe bien. Mais, au-delà de la manifestation, je pense qu'il faut quand même constater, là, qu'il y a de plus en plus de Québécois qui trouvent qu'il y a trop de contraintes suite à la COVID. Et je veux juste dire aux Québécois : Je vous comprends d'être tannés de ces contraintes-là."
