doc_ID,date,sentence_id,context
202202011q,2022-02-01,0,"Titre et participants : Conférence de presse de M. François Legault, premier ministre, et M. Christian Dubé, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date :"
202202011q,2022-02-01,1,"Titre et participants : Conférence de presse de M. François Legault, premier ministre, et M. Christian Dubé, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 1 février 2022, 13 h. 30), édifice Pamphile-Le May."
202202011q,2022-02-01,2,"Titre et participants : Conférence de presse de M. François Legault, premier ministre, et M. Christian Dubé, ministre de la Santé et des Services sociaux. Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 1 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures trois minutes) M. Legault : Bonjour, tout le monde."
202202011q,2022-02-01,3,"Sujet : Situation au Québec quant à la COVID-19. Date : Le mardi 1 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures trois minutes) M. Legault : Bonjour, tout le monde. Bien, je veux d'abord parler de la situation dans les hôpitaux."
202202011q,2022-02-01,4,"Date : Le mardi 1 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures trois minutes) M. Legault : Bonjour, tout le monde. Bien, je veux d'abord parler de la situation dans les hôpitaux. On est passés, si on regarde, il y a une semaine, on était à 3 278 personnes hospitalisées COVID, on a aujourd'hui 2 852 personnes hospitalisées COVID."
202202011q,2022-02-01,5,"Le mardi 1 février 2022, 13 h. 30), édifice Pamphile-Le May. Début de la transcription : (Treize heures trois minutes) M. Legault : Bonjour, tout le monde. Bien, je veux d'abord parler de la situation dans les hôpitaux. On est passés, si on regarde, il y a une semaine, on était à 3 278 personnes hospitalisées COVID, on a aujourd'hui 2 852 personnes hospitalisées COVID. Ça veut dire qu'en une semaine on a diminué de 426 le nombre de personnes hospitalisées."
202202011q,2022-02-01,6,"Début de la transcription : (Treize heures trois minutes) M. Legault : Bonjour, tout le monde. Bien, je veux d'abord parler de la situation dans les hôpitaux. On est passés, si on regarde, il y a une semaine, on était à 3 278 personnes hospitalisées COVID, on a aujourd'hui 2 852 personnes hospitalisées COVID. Ça veut dire qu'en une semaine on a diminué de 426 le nombre de personnes hospitalisées. Par contre, on voit que, dans les derniers jours, la réduction est moins grande que les jours précédents, et évidemment, 2 852, c'est encore beaucoup de monde dans nos hôpitaux."
202202011q,2022-02-01,7,"Bien, je veux d'abord parler de la situation dans les hôpitaux. On est passés, si on regarde, il y a une semaine, on était à 3 278 personnes hospitalisées COVID, on a aujourd'hui 2 852 personnes hospitalisées COVID. Ça veut dire qu'en une semaine on a diminué de 426 le nombre de personnes hospitalisées. Par contre, on voit que, dans les derniers jours, la réduction est moins grande que les jours précédents, et évidemment, 2 852, c'est encore beaucoup de monde dans nos hôpitaux. Heureusement, les employés commencent à revenir, ceux qui étaient absents."
202202011q,2022-02-01,8,"On est passés, si on regarde, il y a une semaine, on était à 3 278 personnes hospitalisées COVID, on a aujourd'hui 2 852 personnes hospitalisées COVID. Ça veut dire qu'en une semaine on a diminué de 426 le nombre de personnes hospitalisées. Par contre, on voit que, dans les derniers jours, la réduction est moins grande que les jours précédents, et évidemment, 2 852, c'est encore beaucoup de monde dans nos hôpitaux. Heureusement, les employés commencent à revenir, ceux qui étaient absents. On était à 12 000 la semaine passée, on est rendu à 10 600."
202202011q,2022-02-01,9,"Ça veut dire qu'en une semaine on a diminué de 426 le nombre de personnes hospitalisées. Par contre, on voit que, dans les derniers jours, la réduction est moins grande que les jours précédents, et évidemment, 2 852, c'est encore beaucoup de monde dans nos hôpitaux. Heureusement, les employés commencent à revenir, ceux qui étaient absents. On était à 12 000 la semaine passée, on est rendu à 10 600. Mais il ne faut jamais oublier qu'on a tout le rattrapage des chirurgies, aussi, à faire."
202202011q,2022-02-01,10,"Par contre, on voit que, dans les derniers jours, la réduction est moins grande que les jours précédents, et évidemment, 2 852, c'est encore beaucoup de monde dans nos hôpitaux. Heureusement, les employés commencent à revenir, ceux qui étaient absents. On était à 12 000 la semaine passée, on est rendu à 10 600. Mais il ne faut jamais oublier qu'on a tout le rattrapage des chirurgies, aussi, à faire. Donc, ce n'est pas simple."
202202011q,2022-02-01,11,"Heureusement, les employés commencent à revenir, ceux qui étaient absents. On était à 12 000 la semaine passée, on est rendu à 10 600. Mais il ne faut jamais oublier qu'on a tout le rattrapage des chirurgies, aussi, à faire. Donc, ce n'est pas simple. On a eu, hier soir, une bonne et longue discussion avec la Santé publique."
202202011q,2022-02-01,12,"On était à 12 000 la semaine passée, on est rendu à 10 600. Mais il ne faut jamais oublier qu'on a tout le rattrapage des chirurgies, aussi, à faire. Donc, ce n'est pas simple. On a eu, hier soir, une bonne et longue discussion avec la Santé publique. On a essayé de peser les pour, les contre, essayé de faire la balance des inconvénients."
202202011q,2022-02-01,13,"Mais il ne faut jamais oublier qu'on a tout le rattrapage des chirurgies, aussi, à faire. Donc, ce n'est pas simple. On a eu, hier soir, une bonne et longue discussion avec la Santé publique. On a essayé de peser les pour, les contre, essayé de faire la balance des inconvénients. C'est sûr que, d'un côté, on veut protéger nos hôpitaux, c'est encore beaucoup de patients, 2 852."
202202011q,2022-02-01,14,"Donc, ce n'est pas simple. On a eu, hier soir, une bonne et longue discussion avec la Santé publique. On a essayé de peser les pour, les contre, essayé de faire la balance des inconvénients. C'est sûr que, d'un côté, on veut protéger nos hôpitaux, c'est encore beaucoup de patients, 2 852. De l'autre côté, bien, on voit qu'il y a de l'impatience des Québécois qui sont tannés, et, je dirais même, il y a une question, là, de santé mentale puis même de paix sociale."
202202011q,2022-02-01,15,"On a eu, hier soir, une bonne et longue discussion avec la Santé publique. On a essayé de peser les pour, les contre, essayé de faire la balance des inconvénients. C'est sûr que, d'un côté, on veut protéger nos hôpitaux, c'est encore beaucoup de patients, 2 852. De l'autre côté, bien, on voit qu'il y a de l'impatience des Québécois qui sont tannés, et, je dirais même, il y a une question, là, de santé mentale puis même de paix sociale. On voit, là, la grogne grandir de jour en jour."
202202011q,2022-02-01,16,"On a essayé de peser les pour, les contre, essayé de faire la balance des inconvénients. C'est sûr que, d'un côté, on veut protéger nos hôpitaux, c'est encore beaucoup de patients, 2 852. De l'autre côté, bien, on voit qu'il y a de l'impatience des Québécois qui sont tannés, et, je dirais même, il y a une question, là, de santé mentale puis même de paix sociale. On voit, là, la grogne grandir de jour en jour. Donc, bien, je le rappelle, la semaine passée, on avait dit, puis c'est, en pratique, fait depuis hier, les restaurants ont recommencé à ouvrir leurs salles à manger."
202202011q,2022-02-01,17,"C'est sûr que, d'un côté, on veut protéger nos hôpitaux, c'est encore beaucoup de patients, 2 852. De l'autre côté, bien, on voit qu'il y a de l'impatience des Québécois qui sont tannés, et, je dirais même, il y a une question, là, de santé mentale puis même de paix sociale. On voit, là, la grogne grandir de jour en jour. Donc, bien, je le rappelle, la semaine passée, on avait dit, puis c'est, en pratique, fait depuis hier, les restaurants ont recommencé à ouvrir leurs salles à manger. Les activités sportives parascolaires dans les écoles, les cégeps, les universités ont recommencé."
202202011q,2022-02-01,18,"De l'autre côté, bien, on voit qu'il y a de l'impatience des Québécois qui sont tannés, et, je dirais même, il y a une question, là, de santé mentale puis même de paix sociale. On voit, là, la grogne grandir de jour en jour. Donc, bien, je le rappelle, la semaine passée, on avait dit, puis c'est, en pratique, fait depuis hier, les restaurants ont recommencé à ouvrir leurs salles à manger. Les activités sportives parascolaires dans les écoles, les cégeps, les universités ont recommencé. Puis je veux apporter une précision, là, ça a été fait durant la semaine, ça concerne aussi les activités artistiques."
202202011q,2022-02-01,19,"On voit, là, la grogne grandir de jour en jour. Donc, bien, je le rappelle, la semaine passée, on avait dit, puis c'est, en pratique, fait depuis hier, les restaurants ont recommencé à ouvrir leurs salles à manger. Les activités sportives parascolaires dans les écoles, les cégeps, les universités ont recommencé. Puis je veux apporter une précision, là, ça a été fait durant la semaine, ça concerne aussi les activités artistiques. Donc, les jeunes qui font de l'improvisation, de la danse, toutes les activités artistiques, c'est au même titre que les sports."
202202011q,2022-02-01,20,"Donc, bien, je le rappelle, la semaine passée, on avait dit, puis c'est, en pratique, fait depuis hier, les restaurants ont recommencé à ouvrir leurs salles à manger. Les activités sportives parascolaires dans les écoles, les cégeps, les universités ont recommencé. Puis je veux apporter une précision, là, ça a été fait durant la semaine, ça concerne aussi les activités artistiques. Donc, les jeunes qui font de l'improvisation, de la danse, toutes les activités artistiques, c'est au même titre que les sports. Donc, ça, c'est déjà permis."
202202011q,2022-02-01,21,"Les activités sportives parascolaires dans les écoles, les cégeps, les universités ont recommencé. Puis je veux apporter une précision, là, ça a été fait durant la semaine, ça concerne aussi les activités artistiques. Donc, les jeunes qui font de l'improvisation, de la danse, toutes les activités artistiques, c'est au même titre que les sports. Donc, ça, c'est déjà permis. Lundi prochain, comme on l'a annoncé, les salles de spectacles puis les lieux de culte vont, à certaines conditions, pouvoir commencer à rouvrir."
202202011q,2022-02-01,22,"Puis je veux apporter une précision, là, ça a été fait durant la semaine, ça concerne aussi les activités artistiques. Donc, les jeunes qui font de l'improvisation, de la danse, toutes les activités artistiques, c'est au même titre que les sports. Donc, ça, c'est déjà permis. Lundi prochain, comme on l'a annoncé, les salles de spectacles puis les lieux de culte vont, à certaines conditions, pouvoir commencer à rouvrir. Et, bien, la question qui revient beaucoup puis qu'on a beaucoup discutée, c'est que dans un contexte où une bonne partie de la population est stressée, je pense que les activités sportives et artistiques pour les adultes, on doit faire un pas de ce côté-là."
202202011q,2022-02-01,23,"Donc, les jeunes qui font de l'improvisation, de la danse, toutes les activités artistiques, c'est au même titre que les sports. Donc, ça, c'est déjà permis. Lundi prochain, comme on l'a annoncé, les salles de spectacles puis les lieux de culte vont, à certaines conditions, pouvoir commencer à rouvrir. Et, bien, la question qui revient beaucoup puis qu'on a beaucoup discutée, c'est que dans un contexte où une bonne partie de la population est stressée, je pense que les activités sportives et artistiques pour les adultes, on doit faire un pas de ce côté-là. Donc, ça me fait plaisir d'annoncer qu'à compter du 14 février, donc pas lundi qui vient, l'autre lundi, les activités sportives et artistiques vont être permises pour les adultes jusqu'à un maximum de 25 personnes."
202202011q,2022-02-01,24,"Donc, ça, c'est déjà permis. Lundi prochain, comme on l'a annoncé, les salles de spectacles puis les lieux de culte vont, à certaines conditions, pouvoir commencer à rouvrir. Et, bien, la question qui revient beaucoup puis qu'on a beaucoup discutée, c'est que dans un contexte où une bonne partie de la population est stressée, je pense que les activités sportives et artistiques pour les adultes, on doit faire un pas de ce côté-là. Donc, ça me fait plaisir d'annoncer qu'à compter du 14 février, donc pas lundi qui vient, l'autre lundi, les activités sportives et artistiques vont être permises pour les adultes jusqu'à un maximum de 25 personnes. Ça veut dire aussi que les gyms puis les spas vont pouvoir aussi rouvrir, donc, le 14 février."
202202011q,2022-02-01,25,"Lundi prochain, comme on l'a annoncé, les salles de spectacles puis les lieux de culte vont, à certaines conditions, pouvoir commencer à rouvrir. Et, bien, la question qui revient beaucoup puis qu'on a beaucoup discutée, c'est que dans un contexte où une bonne partie de la population est stressée, je pense que les activités sportives et artistiques pour les adultes, on doit faire un pas de ce côté-là. Donc, ça me fait plaisir d'annoncer qu'à compter du 14 février, donc pas lundi qui vient, l'autre lundi, les activités sportives et artistiques vont être permises pour les adultes jusqu'à un maximum de 25 personnes. Ça veut dire aussi que les gyms puis les spas vont pouvoir aussi rouvrir, donc, le 14 février. Je pense, ça va faire du bien, mais on va s'arrêter là."
202202011q,2022-02-01,26,"Et, bien, la question qui revient beaucoup puis qu'on a beaucoup discutée, c'est que dans un contexte où une bonne partie de la population est stressée, je pense que les activités sportives et artistiques pour les adultes, on doit faire un pas de ce côté-là. Donc, ça me fait plaisir d'annoncer qu'à compter du 14 février, donc pas lundi qui vient, l'autre lundi, les activités sportives et artistiques vont être permises pour les adultes jusqu'à un maximum de 25 personnes. Ça veut dire aussi que les gyms puis les spas vont pouvoir aussi rouvrir, donc, le 14 février. Je pense, ça va faire du bien, mais on va s'arrêter là. Malheureusement, on ne peut pas annoncer d'autres assouplissements pour l'instant."
202202011q,2022-02-01,27,"Donc, ça me fait plaisir d'annoncer qu'à compter du 14 février, donc pas lundi qui vient, l'autre lundi, les activités sportives et artistiques vont être permises pour les adultes jusqu'à un maximum de 25 personnes. Ça veut dire aussi que les gyms puis les spas vont pouvoir aussi rouvrir, donc, le 14 février. Je pense, ça va faire du bien, mais on va s'arrêter là. Malheureusement, on ne peut pas annoncer d'autres assouplissements pour l'instant. On espère être capables de le faire dans les prochaines semaines, mais c'est important, je le dis encore, d'être prudents, entre autres à cause de la situation dans nos hôpitaux, là, ne serait-ce que pour venir appuyer les employés qui sont au front depuis deux ans."
202202011q,2022-02-01,28,"Ça veut dire aussi que les gyms puis les spas vont pouvoir aussi rouvrir, donc, le 14 février. Je pense, ça va faire du bien, mais on va s'arrêter là. Malheureusement, on ne peut pas annoncer d'autres assouplissements pour l'instant. On espère être capables de le faire dans les prochaines semaines, mais c'est important, je le dis encore, d'être prudents, entre autres à cause de la situation dans nos hôpitaux, là, ne serait-ce que pour venir appuyer les employés qui sont au front depuis deux ans. Ce qui pourrait nous aider à accélérer le déconfinement, c'est la vaccination."
202202011q,2022-02-01,29,"Je pense, ça va faire du bien, mais on va s'arrêter là. Malheureusement, on ne peut pas annoncer d'autres assouplissements pour l'instant. On espère être capables de le faire dans les prochaines semaines, mais c'est important, je le dis encore, d'être prudents, entre autres à cause de la situation dans nos hôpitaux, là, ne serait-ce que pour venir appuyer les employés qui sont au front depuis deux ans. Ce qui pourrait nous aider à accélérer le déconfinement, c'est la vaccination. Bon, si on prend la vaccination pour les adultes, pour les 18 ans et plus, ça a bien été : première dose, 92 %, deuxième dose, 90 %."
202202011q,2022-02-01,30,"Malheureusement, on ne peut pas annoncer d'autres assouplissements pour l'instant. On espère être capables de le faire dans les prochaines semaines, mais c'est important, je le dis encore, d'être prudents, entre autres à cause de la situation dans nos hôpitaux, là, ne serait-ce que pour venir appuyer les employés qui sont au front depuis deux ans. Ce qui pourrait nous aider à accélérer le déconfinement, c'est la vaccination. Bon, si on prend la vaccination pour les adultes, pour les 18 ans et plus, ça a bien été : première dose, 92 %, deuxième dose, 90 %. Troisième dose pour les adultes, on est rendus à 61 %."
202202011q,2022-02-01,31,"On espère être capables de le faire dans les prochaines semaines, mais c'est important, je le dis encore, d'être prudents, entre autres à cause de la situation dans nos hôpitaux, là, ne serait-ce que pour venir appuyer les employés qui sont au front depuis deux ans. Ce qui pourrait nous aider à accélérer le déconfinement, c'est la vaccination. Bon, si on prend la vaccination pour les adultes, pour les 18 ans et plus, ça a bien été : première dose, 92 %, deuxième dose, 90 %. Troisième dose pour les adultes, on est rendus à 61 %. Ce n'est pas assez."
202202011q,2022-02-01,32,"Ce qui pourrait nous aider à accélérer le déconfinement, c'est la vaccination. Bon, si on prend la vaccination pour les adultes, pour les 18 ans et plus, ça a bien été : première dose, 92 %, deuxième dose, 90 %. Troisième dose pour les adultes, on est rendus à 61 %. Ce n'est pas assez. Il faut trouver le moyen, puis il y a de la place, il y a des vaccinateurs de disponibles, il y a des doses de disponibles, il faut absolument, pour assurer une meilleure couverture vaccinale, augmenter ce 61 %."
202202011q,2022-02-01,33,"Bon, si on prend la vaccination pour les adultes, pour les 18 ans et plus, ça a bien été : première dose, 92 %, deuxième dose, 90 %. Troisième dose pour les adultes, on est rendus à 61 %. Ce n'est pas assez. Il faut trouver le moyen, puis il y a de la place, il y a des vaccinateurs de disponibles, il y a des doses de disponibles, il faut absolument, pour assurer une meilleure couverture vaccinale, augmenter ce 61 %. Bon, maintenant, je veux m'adresser aux personnes qui n'ont pas été chercher leur première dose."
202202011q,2022-02-01,34,"Troisième dose pour les adultes, on est rendus à 61 %. Ce n'est pas assez. Il faut trouver le moyen, puis il y a de la place, il y a des vaccinateurs de disponibles, il y a des doses de disponibles, il faut absolument, pour assurer une meilleure couverture vaccinale, augmenter ce 61 %. Bon, maintenant, je veux m'adresser aux personnes qui n'ont pas été chercher leur première dose. Je veux d'abord vous dire que je comprends que certaines personnes ne voient pas ça d'un bon oeil, de se faire vacciner, d'avoir un produit dans leur corps, même si les experts sont à peu près unanimes, là, il n'y a à peu près pas d'effets secondaires."
202202011q,2022-02-01,35,"Ce n'est pas assez. Il faut trouver le moyen, puis il y a de la place, il y a des vaccinateurs de disponibles, il y a des doses de disponibles, il faut absolument, pour assurer une meilleure couverture vaccinale, augmenter ce 61 %. Bon, maintenant, je veux m'adresser aux personnes qui n'ont pas été chercher leur première dose. Je veux d'abord vous dire que je comprends que certaines personnes ne voient pas ça d'un bon oeil, de se faire vacciner, d'avoir un produit dans leur corps, même si les experts sont à peu près unanimes, là, il n'y a à peu près pas d'effets secondaires. Il y a des centaines de millions de doses qui sont données dans le monde, donc ça a été testé."
